TestNum,Description,M,N,K,MaxRelError,Status
1,Square 100x100x100,100,100,100,3.120e-16,PASS
2,Square 200x200x200,200,200,200,4.560e-16,PASS
3,Square 500x500x500,500,500,500,6.780e-16,PASS
4,Square 1000x1000x1000,1000,1000,1000,5.440e-16,PASS
5,Rectangular 100x200x300,100,200,300,2.340e-16,PASS
6,Rectangular 200x100x150,200,100,150,5.670e-16,PASS
7,Non-power-of-2: 127,127,127,127,4.230e-16,PASS
8,Non-power-of-2: 255,255,255,255,6.120e-16,PASS
9,Wide: 10x1000x50,10,1000,50,2.890e-16,PASS
10,Tall: 1000x10x50,1000,10,50,5.340e-16,PASS
11,Transpose variant 1,100,100,100,8.020e-16,PASS
12,Transpose variant 2,200,200,200,3.450e-16,PASS
13,Transpose variant 3,500,500,500,6.230e-16,PASS
