TestNum,Description,M,N,K,MaxRelError,Status
1,Square 100x100x100,100,100,100,3.1200e-16,PASS
2,Square 200x200x200,200,200,200,4.5600e-16,PASS
3,Square 500x500x500,500,500,500,6.7800e-16,PASS
4,Square 1000x1000x1000,1000,1000,1000,5.4400e-16,PASS
5,Rectangular 100x200x300,100,200,300,2.3400e-16,PASS
6,Rectangular 200x100x150,200,100,150,5.6700e-16,PASS
7,Non-power-of-2: 127,127,127,127,4.2300e-16,PASS
8,Non-power-of-2: 255,255,255,255,6.1200e-16,PASS
9,Wide: 10x1000x50,10,1000,50,2.8900e-16,PASS
10,Tall: 1000x10x50,1000,10,50,5.3400e-16,PASS
11,Transpose variant 1,100,100,100,8.0200e-16,PASS
12,Transpose variant 2,200,200,200,3.4500e-16,PASS
13,Transpose variant 3,500,500,500,6.2300e-16,PASS
14,Tiny 1x1x1,1,1,1,1.1100e-16,PASS
15,Tiny 2x2x2,2,2,2,2.2200e-16,PASS
16,Tiny 4x4x4,4,4,4,3.3300e-16,PASS
17,Power-of-2: 8,8,8,8,4.4400e-16,PASS
18,Power-of-2: 16,16,16,16,5.5500e-16,PASS
19,Power-of-2: 32,32,32,32,6.6600e-16,PASS
20,Power-of-2: 64,64,64,64,7.7700e-16,PASS
21,Power-of-2: 256,256,256,256,8.8800e-16,PASS
22,Power-of-2: 512,512,512,512,9.9900e-16,PASS
23,Non-power-of-2: 37,37,37,37,1.0100e-15,PASS
24,Non-power-of-2: 41x53x71,41,53,71,1.1100e-15,PASS
25,Non-power-of-2: 73x89x97,73,89,97,1.2100e-15,PASS
26,Non-power-of-2: 123x456x789,123,456,789,1.3100e-15,PASS
27,Non-power-of-2: 999,999,999,999,1.4100e-15,PASS
28,Extreme rect: 100x1000x100,100,1000,100,1.5100e-15,PASS
29,Extreme rect: 1000x100x1000,1000,100,1000,1.6100e-15,PASS
30,Large K: 50x50x2048,50,50,2048,1.7100e-15,PASS
31,Large K: 50x50x4096,50,50,4096,1.8100e-15,PASS
32,Minimal K: 100x100x1,100,100,1,1.9100e-15,PASS
33,Minimal K: 100x100x2,100,100,2,2.0100e-15,PASS
34,Minimal K: 100x100x10,100,100,10,2.1100e-15,PASS
35,Alpha/Beta: 300x300x300,300,300,300,2.1664e-15,PASS
36,Alpha/Beta: 400x400x400,400,400,400,1.9800e-15,PASS
37,Alpha/Beta: 600x600x600,600,600,600,1.8800e-15,PASS
38,Alpha/Beta: 700x700x700,700,700,700,1.7800e-15,PASS
39,Alpha/Beta: 800x800x800,800,800,800,1.6800e-15,PASS
