name,git_url,branch,build_system
openblas,https://github.com/OpenMathLib/OpenBLAS.git,develop,make
lapack,https://github.com/Reference-LAPACK/lapack.git,master,cmake
petsc,https://gitlab.com/petsc/petsc.git,main,configure
lammps,https://github.com/lammps/lammps.git,develop,cmake
gsl,https://github.com/ampl/gsl.git,master,configure
fftw,https://github.com/FFTW/fftw3.git,master,configure
hdf5,https://github.com/HDFGroup/hdf5.git,develop,cmake
arpack,https://github.com/opencollab/arpack-ng.git,master,configure
getdp,https://gitlab.onelab.info/getdp/getdp.git,master,cmake
gmsh,https://gitlab.onelab.info/gmsh/gmsh.git,master,cmake
eigen,https://gitlab.com/libeigen/eigen.git,master,cmake
gromacs,https://gitlab.com/gromacs/gromacs.git,main,cmake
openmm,https://github.com/openmm/openmm.git,master,cmake
opencv,https://github.com/opencv/opencv.git,4.x,cmake
llvm,https://github.com/llvm/llvm-project.git,release/18.x,cmake
superlu,https://github.com/xiaoyeli/superlu.git,master,make
sundials,https://github.com/LLNL/sundials.git,develop,cmake
papi,https://github.com/icl-utk-edu/papi.git,master,configure
pcre2,https://github.com/PCRE2Project/pcre2.git,master,configure
netgen,https://github.com/NGSolve/netgen.git,master,cmake
libyaml,https://github.com/yaml/libyaml.git,master,configure
libsigsegv,https://github.com/IanHarvey/libsigsegv.git,master,configure
libuuid,https://github.com/karelzak/util-linux.git,master,configure
libbsd,https://gitlab.freedesktop.org/libbsd/libbsd.git,master,configure
libmd,https://github.com/aperezdc/libmd.git,master,configure
libdeflate,https://github.com/ebiggers/libdeflate.git,master,make
libb2,https://github.com/BLAKE2/libb2.git,master,configure
xxhash,https://github.com/Cyan4973/xxHash.git,dev,make
lz4,https://github.com/lz4/lz4.git,dev,make
c-blosc,https://github.com/Blosc/c-blosc.git,main,cmake
libarchive,https://github.com/libarchive/libarchive.git,master,cmake
