Attaching 348 probes...
09:47:24 @total: 4378
09:47:25 @total: 80
09:47:26 @total: 180
09:47:27 @total: 84
09:47:28 @total: 80
09:47:29 @total: 80
09:47:30 @total: 100
09:47:31 @total: 86
09:47:32 @total: 80
09:47:33 @total: 764
09:47:34 @total: 88
09:47:35 @total: 84
09:47:36 @total: 80
09:47:37 @total: 196
09:47:38 @total: 80
09:47:39 @total: 88
09:47:40 @total: 80
09:47:41 @total: 100
09:47:42 @total: 145
09:47:43 @total: 63
09:47:44 @total: 80
09:47:45 @total: 80
09:47:46 @total: 80
09:47:47 @total: 89
09:47:48 @total: 78
09:47:49 @total: 80
09:47:50 @total: 78
09:47:51 @total: 84
09:47:52 @total: 80
09:47:53 @total: 78
09:47:54 @total: 80
09:47:55 @total: 88
09:47:56 @total: 80
09:47:57 @total: 81
09:47:58 @total: 80
09:47:59 @total: 84
09:48:00 @total: 80
09:48:01 @total: 787
09:48:02 @total: 80
09:48:03 @total: 92
09:48:04 @total: 88
09:48:05 @total: 193
09:48:06 @total: 78
09:48:07 @total: 84
09:48:08 @total: 791
09:48:09 @total: 78
09:48:10 @total: 80
09:48:11 @total: 88
09:48:12 @total: 193
09:48:13 @total: 80
09:48:14 @total: 103
09:48:15 @total: 82
09:48:16 @total: 100
09:48:17 @total: 76
09:48:18 @total: 76
09:48:19 @total: 62
09:48:20 @total: 78
09:48:21 @total: 78
09:48:22 @total: 79
09:48:23 @total: 84
09:48:24 @total: 78
09:48:25 @total: 80
09:48:26 @total: 78
09:48:27 @total: 88
09:48:28 @total: 80
09:48:29 @total: 80
09:48:30 @total: 80
09:48:31 @total: 84
09:48:32 @total: 81
09:48:33 @total: 84
09:48:34 @total: 88
09:48:35 @total: 88
09:48:36 @total: 80
09:48:37 @total: 78
09:48:38 @total: 147
09:48:39 @total: 82
09:48:40 @total: 80
09:48:41 @total: 80
09:48:42 @total: 81
09:48:43 @total: 88
09:48:44 @total: 80
09:48:45 @total: 782
09:48:46 @total: 78
09:48:47 @total: 127
09:48:48 @total: 78
09:48:49 @total: 216
09:48:50 @total: 78
09:48:51 @total: 86
09:48:52 @total: 76
09:48:53 @total: 96
09:48:54 @total: 76
09:48:55 @total: 80
09:48:56 @total: 76
09:48:57 @total: 76
09:48:58 @total: 76
09:48:59 @total: 87
09:49:00 @total: 78
09:49:01 @total: 766
09:49:02 @total: 310
09:49:03 @total: 88
09:49:04 @total: 88
09:49:05 @total: 80
09:49:06 @total: 193
09:49:07 @total: 88
09:49:08 @total: 80
09:49:09 @total: 80
09:49:10 @total: 100
09:49:11 @total: 84
09:49:12 @total: 80
09:49:13 @total: 80
09:49:14 @total: 80
09:49:15 @total: 86
09:49:16 @total: 81
09:49:17 @total: 80
09:49:18 @total: 80
09:49:19 @total: 129
09:49:20 @total: 78
09:49:21 @total: 80
09:49:22 @total: 80
09:49:23 @total: 88
09:49:24 @total: 54
09:49:25 @total: 786
09:49:26 @total: 78
09:49:27 @total: 84
09:49:28 @total: 80
09:49:29 @total: 193
09:49:30 @total: 80
09:49:31 @total: 179
09:49:32 @total: 80
09:49:33 @total: 104
09:49:34 @total: 88
09:49:35 @total: 84
09:49:36 @total: 80
09:49:37 @total: 80
09:49:38 @total: 80
09:49:39 @total: 89
09:49:40 @total: 80
09:49:41 @total: 80
09:49:42 @total: 76
09:49:43 @total: 84
09:49:44 @total: 78
09:49:45 @total: 78
09:49:46 @total: 80
09:49:47 @total: 88
09:49:48 @total: 80
09:49:49 @total: 81
09:49:50 @total: 78
09:49:51 @total: 147
09:49:52 @total: 59
09:49:53 @total: 80
09:49:54 @total: 77
09:49:55 @total: 67
09:49:56 @total: 80
09:49:57 @total: 80
09:49:58 @total: 80
09:49:59 @total: 85
09:50:00 @total: 80
09:50:01 @total: 787
09:50:02 @total: 80
09:50:03 @total: 88
09:50:04 @total: 88
09:50:05 @total: 894
09:50:06 @total: 59
09:50:07 @total: 84
09:50:08 @total: 80
09:50:09 @total: 193
09:50:10 @total: 80
09:50:11 @total: 88
09:50:12 @total: 80
09:50:13 @total: 100
09:50:14 @total: 78
09:50:15 @total: 84
09:50:16 @total: 80
09:50:17 @total: 80
09:50:18 @total: 80
09:50:19 @total: 85
09:50:20 @total: 82
09:50:21 @total: 80
09:50:22 @total: 80
09:50:23 @total: 114
09:50:24 @total: 95
09:50:25 @total: 78
09:50:26 @total: 80
09:50:27 @total: 84
09:50:28 @total: 84
09:50:29 @total: 57
09:50:30 @total: 80
09:50:31 @total: 84
09:50:32 @total: 80
09:50:33 @total: 84
09:50:34 @total: 88
09:50:35 @total: 84
09:50:36 @total: 84
09:50:37 @total: 80
09:50:38 @total: 147
09:50:39 @total: 85
09:50:40 @total: 80
09:50:41 @total: 80
09:50:42 @total: 80
09:50:43 @total: 84
09:50:44 @total: 84
09:50:45 @total: 80
09:50:46 @total: 80
09:50:47 @total: 809
09:50:48 @total: 80
09:50:49 @total: 118
09:50:50 @total: 80
09:50:51 @total: 197
09:50:52 @total: 84
09:50:53 @total: 80
09:50:54 @total: 80
09:50:55 @total: 104
09:50:56 @total: 123
09:50:57 @total: 80
09:50:58 @total: 169
09:50:59 @total: 84
09:51:00 @total: 82
09:51:01 @total: 724
09:51:18 @total: 10644
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0
09:51:18 @total: 0

=== Syscall Profile ===
@syscalls[tracepoint:syscalls:sys_enter_sysinfo]: 1
@syscalls[tracepoint:syscalls:sys_enter_getsid]: 1
@syscalls[tracepoint:syscalls:sys_enter_ftruncate]: 1
@syscalls[tracepoint:syscalls:sys_enter_getpgid]: 1
@syscalls[tracepoint:syscalls:sys_enter_getpriority]: 1
@syscalls[tracepoint:syscalls:sys_enter_pwrite64]: 2
@syscalls[tracepoint:syscalls:sys_enter_getcwd]: 2
@syscalls[tracepoint:syscalls:sys_enter_setsid]: 2
@syscalls[tracepoint:syscalls:sys_enter_getgroups]: 2
@syscalls[tracepoint:syscalls:sys_enter_mkdir]: 2
@syscalls[tracepoint:syscalls:sys_enter_setgid]: 2
@syscalls[tracepoint:syscalls:sys_enter_setpriority]: 2
@syscalls[tracepoint:syscalls:sys_enter_getresuid]: 2
@syscalls[tracepoint:syscalls:sys_enter_getresgid]: 2
@syscalls[tracepoint:syscalls:sys_enter_exit]: 2
@syscalls[tracepoint:syscalls:sys_enter_madvise]: 3
@syscalls[tracepoint:syscalls:sys_enter_getpgrp]: 3
@syscalls[tracepoint:syscalls:sys_enter_mremap]: 4
@syscalls[tracepoint:syscalls:sys_enter_socketpair]: 4
@syscalls[tracepoint:syscalls:sys_enter_clock_nanosleep]: 4
@syscalls[tracepoint:syscalls:sys_enter_lgetxattr]: 4
@syscalls[tracepoint:syscalls:sys_enter_writev]: 4
@syscalls[tracepoint:syscalls:sys_enter_setitimer]: 4
@syscalls[tracepoint:syscalls:sys_enter_fsync]: 5
@syscalls[tracepoint:syscalls:sys_enter_statfs]: 6
@syscalls[tracepoint:syscalls:sys_enter_setpgid]: 6
@syscalls[tracepoint:syscalls:sys_enter_newuname]: 10
@syscalls[tracepoint:syscalls:sys_enter_setgroups]: 10
@syscalls[tracepoint:syscalls:sys_enter_umask]: 10
@syscalls[tracepoint:syscalls:sys_enter_pipe2]: 11
@syscalls[tracepoint:syscalls:sys_enter_set_tid_address]: 12
@syscalls[tracepoint:syscalls:sys_enter_rseq]: 15
@syscalls[tracepoint:syscalls:sys_enter_ppoll]: 15
@syscalls[tracepoint:syscalls:sys_enter_rt_sigreturn]: 16
@syscalls[tracepoint:syscalls:sys_enter_setresgid]: 18
@syscalls[tracepoint:syscalls:sys_enter_exit_group]: 19
@syscalls[tracepoint:syscalls:sys_enter_epoll_create1]: 20
@syscalls[tracepoint:syscalls:sys_enter_signalfd4]: 20
@syscalls[tracepoint:syscalls:sys_enter_getsockname]: 21
@syscalls[tracepoint:syscalls:sys_enter_wait4]: 22
@syscalls[tracepoint:syscalls:sys_enter_clone]: 22
@syscalls[tracepoint:syscalls:sys_enter_getppid]: 24
@syscalls[tracepoint:syscalls:sys_enter_fstatfs]: 26
@syscalls[tracepoint:syscalls:sys_enter_bind]: 26
@syscalls[tracepoint:syscalls:sys_enter_utimensat]: 27
@syscalls[tracepoint:syscalls:sys_enter_setresuid]: 28
@syscalls[tracepoint:syscalls:sys_enter_getgid]: 28
@syscalls[tracepoint:syscalls:sys_enter_getegid]: 28
@syscalls[tracepoint:syscalls:sys_enter_geteuid]: 30
@syscalls[tracepoint:syscalls:sys_enter_getuid]: 35
@syscalls[tracepoint:syscalls:sys_enter_munmap]: 37
@syscalls[tracepoint:syscalls:sys_enter_kill]: 38
@syscalls[tracepoint:syscalls:sys_enter_capget]: 38
@syscalls[tracepoint:syscalls:sys_enter_getpid]: 41
@syscalls[tracepoint:syscalls:sys_enter_waitid]: 42
@syscalls[tracepoint:syscalls:sys_enter_open]: 43
@syscalls[tracepoint:syscalls:sys_enter_readlinkat]: 45
@syscalls[tracepoint:syscalls:sys_enter_faccessat2]: 48
@syscalls[tracepoint:syscalls:sys_enter_set_robust_list]: 49
@syscalls[tracepoint:syscalls:sys_enter_sendmsg]: 52
@syscalls[tracepoint:syscalls:sys_enter_pidfd_open]: 60
@syscalls[tracepoint:syscalls:sys_enter_getsockopt]: 64
@syscalls[tracepoint:syscalls:sys_enter_socket]: 65
@syscalls[tracepoint:syscalls:sys_enter_unlink]: 71
@syscalls[tracepoint:syscalls:sys_enter_readlink]: 89
@syscalls[tracepoint:syscalls:sys_enter_timerfd_settime]: 93
@syscalls[tracepoint:syscalls:sys_enter_epoll_pwait2]: 96
@syscalls[tracepoint:syscalls:sys_enter_setsockopt]: 98
@syscalls[tracepoint:syscalls:sys_enter_pread64]: 103
@syscalls[tracepoint:syscalls:sys_enter_epoll_ctl]: 107
@syscalls[tracepoint:syscalls:sys_enter_prctl]: 108
@syscalls[tracepoint:syscalls:sys_enter_getdents64]: 110
@syscalls[tracepoint:syscalls:sys_enter_lseek]: 111
@syscalls[tracepoint:syscalls:sys_enter_clock_adjtime]: 115
@syscalls[tracepoint:syscalls:sys_enter_mprotect]: 119
@syscalls[tracepoint:syscalls:sys_enter_prlimit64]: 143
@syscalls[tracepoint:syscalls:sys_enter_poll]: 149
@syscalls[tracepoint:syscalls:sys_enter_inotify_add_watch]: 168
@syscalls[tracepoint:syscalls:sys_enter_fcntl]: 188
@syscalls[tracepoint:syscalls:sys_enter_getrandom]: 229
@syscalls[tracepoint:syscalls:sys_enter_gettid]: 254
@syscalls[tracepoint:syscalls:sys_enter_rt_sigprocmask]: 281
@syscalls[tracepoint:syscalls:sys_enter_dup]: 315
@syscalls[tracepoint:syscalls:sys_enter_perf_event_open]: 346
@syscalls[tracepoint:syscalls:sys_enter_write]: 406
@syscalls[tracepoint:syscalls:sys_enter_rt_sigaction]: 415
@syscalls[tracepoint:syscalls:sys_enter_statx]: 416
@syscalls[tracepoint:syscalls:sys_enter_nanosleep]: 447
@syscalls[tracepoint:syscalls:sys_enter_access]: 475
@syscalls[tracepoint:syscalls:sys_enter_mmap]: 618
@syscalls[tracepoint:syscalls:sys_enter_dup2]: 628
